;reviewId;userName;userImage;text;score;thumbsUpCount;reviewCreatedVersion;tweetcreatedts;replyContent;repliedAt;result
0;f4f7be37-3811-433d-825b-8557a1c63f34;yeni chandra;https://play-lh.googleusercontent.com/a-/AD5-WCmMX60OWDPgUEHb12PHwrXDuMliuZtpbENT72zSbw;mantap bermanfaat;5;0;1.3.21;06/12/2022 16:50;;;[{'label': 'POSITIVE', 'score': 0.9893574118614197}]
1;549ac50e-123e-4612-8769-660aff44fb13;Fans Sianida;https://play-lh.googleusercontent.com/a-/AD5-WCkmSg5mKW53Br61BF79qy7wXHamEXaZUWgyIQZjVg;Tidak menyelesaikan masalah;1;0;1.3.21;05/12/2022 09:57;;;[{'label': 'POSITIVE', 'score': 0.9914945363998413}]
2;350f1d5a-269a-4c45-a71a-69365775c893;Yogi Sugiarto;https://play-lh.googleusercontent.com/a-/AD5-WClXQerwIz7KdIO_HPiI0PDsTdAM7RpmpVd3zU9XcUE;Semoga aplikasi ini bisa membantu menyelesaikan permasalahan;5;0;1.3.21;30/11/2022 12:24;;;[{'label': 'POSITIVE', 'score': 0.9892081618309021}]
3;2ab14f23-631a-482d-ad9f-27f94428f8de;PUTRA WALDI S;https://play-lh.googleusercontent.com/a/AEdFTp4ku-KxpNQYQEH4EXGMMCb1vuCtxX0h5CtrK0el=mo;Laporan sudah sesuai syarat dan ketentuan.sudah lama sekali saya menunggu tidak ada tindak lanjut dan solusi.;1;0;1.3.21;30/11/2022 06:47;;;[{'label': 'POSITIVE', 'score': 0.9967387318611145}]
4;9d306a7d-0a87-49e2-952d-b92da4545a3b;Amin Hidayat;https://play-lh.googleusercontent.com/a-/AD5-WCnopbgg2gBoj1o2anZYobfBhDMXhirFMnEohpINHw;Internal Server Error....Internal Server Error....Internal Server Error.... Hmmmmm.......;2;0;1.3.21;29/11/2022 03:32;;;[{'label': 'NEGATIVE', 'score': 0.9994087219238281}]
5;28a07db6-b9f0-41b2-9780-9b7f7ec95516;Hendra Mulya;https://play-lh.googleusercontent.com/a/AEdFTp6Fxeq1HWcQNqYcpKqh3rVX6Zl-VhZmt-uneqN7=mo;Ga bisa login;1;0;;28/11/2022 18:33;;;[{'label': 'NEGATIVE', 'score': 0.9533669352531433}]
6;1f7c9c9c-0389-43bc-bc72-3495df058e89;Evan Jayanto (Keyzha Mart);https://play-lh.googleusercontent.com/a-/AD5-WCmj1MDommIxvwj95EaKWmjXHW1Jkh6Ry-dCZiMsYYE;Semoga dipercepat laporan;4;0;1.3.21;27/11/2022 16:39;;;[{'label': 'POSITIVE', 'score': 0.9824197292327881}]
7;6941957a-5de0-45c2-98ab-c82f884a77f3;riyadh budi santoso;https://play-lh.googleusercontent.com/a-/AD5-WCkXXuZtGko3dhP1soqzU4qnxz9EgOJ-Bt2tOor2kw;Aplikasinya tolong diperbaharui n juga dipermudah....;3;0;1.3.21;27/11/2022 07:02;;;[{'label': 'POSITIVE', 'score': 0.9855415225028992}]
8;23b877a7-f8ce-49a1-9f8b-e6cdb4739c19;Reihan Ramadhan;https://play-lh.googleusercontent.com/a-/AD5-WCk5s3DtykeGPAKbSdv7KuimUMchBQnjwj_6rVbl;Laporan susah dikirim, capek ngetiknya,, mohon maaf saya hapus aplnya, tdk bermanfaat bagi saya??;1;0;1.3.21;25/11/2022 13:30;;;[{'label': 'POSITIVE', 'score': 0.998372495174408}]
9;af4053a4-5fb6-4e95-9a35-348603b5bb5f;Karyadi Karyadi;https://play-lh.googleusercontent.com/a/AEdFTp4TDNNaxDEU6sDg7KgklJtA8BAYVFTdGuq58HwP=mo;Sampah,,,baru daftar pas login kata sandi salah,,sandi udh benar eh keterangan salah;1;0;1.3.21;25/11/2022 04:56;;;[{'label': 'POSITIVE', 'score': 0.9922244548797607}]
